genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	start	end	strand	na_length	gene	product	plfam_id	pgfam_id
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	source			1	3282708	+	3282708				
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.1	cg0001	22	1575	+	1554	dnaA	Chromosomal replication initiator protein DnaA	PLF_1716_00046540	PGF_00876106
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.2	cg0004	2292	3476	+	1185	dnaN	DNA polymerase III beta subunit (EC 2.7.7.7)	PLF_1716_00093413	PGF_06473395
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.3	cg0005	3585	4769	+	1185	recF	DNA recombination and repair protein RecF	PLF_1716_00004980	PGF_10387199
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.4	cg0006	4766	5302	+	537		Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives	PLF_1716_00089439	PGF_07687979
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.5	cg0007	5435	7489	+	2055	gyrB	DNA gyrase subunit B (EC 5.99.1.3)	PLF_1716_00000046	PGF_06703483
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.6	cg0008	7830	8798	+	969		predicted hydrolase or acyltransferase	PLF_1716_00006297	PGF_01380911
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.7	cg0009	8795	9376	-	582		putative membrane protein	PLF_1716_00006349	PGF_05101181
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.8	cg0010	9471	9857	-	387		hypothetical protein	PLF_1716_00004219	PGF_01376127
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.9	cg0012	10104	11024	-	921		Transcriptional regulator	PLF_1716_00005513	PGF_01380597
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.10	cg0013	11260	11523	-	264		Death on curing protein, Doc toxin	PLF_1716_00004981	PGF_01380429
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.11		11529	11717	+	189		hypothetical protein	PLF_1716_00084152	PGF_01358166
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.12	cg0015	11831	14401	+	2571	gyrA	DNA gyrase subunit A (EC 5.99.1.3)	PLF_1716_00000035	PGF_03272313
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.13	cg0016	14405	14749	+	345		FIG187021: hypothetical protein	PLF_1716_00001609	PGF_00003703
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	tRNA	fig|196627.14.rna.1	cgtRNA_3528	14851	14927	+	77		tRNA-Ile-GAT		
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	tRNA	fig|196627.14.rna.2	cgtRNA_3529	14939	15011	+	73		tRNA-Ala-TGC		
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.14	cg0018	15206	16132	-	927		Putative membrane protein YeiH	PLF_1716_00002476	PGF_08102025
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.15	cg0019	16314	17210	+	897		Transcriptional regulator, LysR family	PLF_1716_00006087	PGF_07987589
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.16	cg0021	17260	17673	+	414		hypothetical protein	PLF_1716_00005630	PGF_01380630
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.17	cg0025	17857	18729	-	873		putative cytochrome c biogenesis protein	PLF_1716_00004840	PGF_00406642
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.18	cg0026	18733	19425	-	693		protein-disulfide isomerase	PLF_1716_00006298	PGF_01380912
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.19	cg0027	19705	20076	+	372		Transcriptional regulator, MecI family	PLF_1716_00005520	PGF_06973251
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.20	cg0029	20073	21068	+	996		Peptidase M48, Ste24p precursor	PLF_1716_00004677	PGF_07173328
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.21	cg0031	21071	21253	-	183		hypothetical protein	PLF_1716_00017522	PGF_01357500
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.22	cg0034	21597	22127	+	531		5'-nucleotidase (EC 3.1.3.5)	PLF_1716_00017824	PGF_07104524
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.23	cg0035	22164	23402	+	1239		hypothetical protein	PLF_1716_00005631	PGF_08225224
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	tRNA	fig|196627.14.rna.3	cgtRNA_3530	23500	23572	+	73		tRNA-Ala-TGC		
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	tRNA	fig|196627.14.rna.4	cgtRNA_3531	23903	23979	+	77		tRNA-Ile-GAT		
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	tRNA	fig|196627.14.rna.5	cgtRNA_3532	23991	24063	+	73		tRNA-Ala-TGC		
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.24	cg0038	24295	24732	+	438		Organic hydroperoxide resistance protein	PLF_1716_00001377	PGF_07654591
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.25	cg0039	24882	26573	-	1692		Uncharacterized protein BT3327	PLF_1716_00006590	PGF_06247943
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.26	cg0040	26819	28099	-	1281		putative secreted protein	PLF_1716_00003328	PGF_03536087
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.27	cg0041	28161	29117	-	957		Zinc ABC transporter, substrate-binding protein ZnuA	PLF_1716_00004174	PGF_02486076
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.28	cg0042	29114	29965	-	852		Zinc ABC transporter, permease protein ZnuB	PLF_1716_00004450	PGF_04150742
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.29	cg0043	29995	30654	+	660		Zinc ABC transporter, ATP-binding protein ZnuC	PLF_1716_00005539	PGF_08228852
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.30	cg0044	30697	31680	+	984		ABC transporter, substrate-binding protein (cluster 2, ribose/xylose/arabinose/galactose)	PLF_1716_00018899	PGF_10487056
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.31	cg0045	31677	32702	+	1026		ABC transporter, permease protein	PLF_1716_00014388	PGF_00935959
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.32	cg0046	32699	33460	+	762		ABC transporter, ATP-binding protein (cluster 2, ribose/xylose/arabinose/galactose)	PLF_1716_00015587	PGF_00415046
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.33	cg0047	33462	34274	-	813		putative membrane protein	PLF_1716_00005236	PGF_07469481
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.34	cg0048	34330	34902	+	573	ppiA	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	PLF_1716_00000130	PGF_09954313
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.35	cg0049	34994	35671	+	678		FIG056164: rhomboid family serine protease	PLF_1716_00004637	PGF_00807568
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.36	cg0051	36244	37212	-	969		AraC-type DNA-binding domain-containing protein	PLF_1716_00003448	PGF_01368537
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.37	cg0052	37182	38201	+	1020		ABC transporter, permease protein	PLF_1716_00012316	PGF_10477181
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.38	cg0053	38553	38981	+	429		Iron compound ABC transporter, ATP-binding protein	PLF_1716_00014688	PGF_00175429
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.39	cg0054	38978	39802	+	825		siderophore-interacting protein	PLF_1716_00013527	PGF_00412276
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.40	cg0055	40186	40359	-	174		FIG018426: putative septation inhibitor protein	PLF_1716_00091548	PGF_03287828
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.41		40343	40522	+	180		hypothetical protein	PLF_1716_00090389	PGF_01353741
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.42	cg0057	40573	42513	-	1941	pknB	Serine/threonine-protein kinase PknB (EC 2.7.11.1)	PLF_1716_00012110	PGF_05218024
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.43	cg0059	42510	43919	-	1410	pknA	Serine/threonine-protein kinase PknA (EC 2.7.11.1)	PLF_1716_00005063	PGF_03099722
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.44	cg0060	43923	45347	-	1425	pbpA	FtsI-like cell elongation transpeptidase	PLF_1716_00021664	PGF_10511254
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.45	cg0061	45344	46669	-	1326	rodA	FtsW-like cell division membrane protein CA_C0505	PLF_1716_00001025	PGF_06377994
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.46	cg0062	46666	48021	-	1356	ppp	Serine/threonine phosphatase PPP (EC 3.1.3.16)	PLF_1716_00004430	PGF_03591205
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.47	cg0063	48021	48485	-	465		FHA-domain-containing protein	PLF_1716_00018510	PGF_10397144
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.48	cg0064	48502	49398	-	897		FIG00824290: FHA domain protein	PLF_1716_00004993	PGF_08169626
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	tRNA	fig|196627.14.rna.6	cgtRNA_3533	49705	49791	+	87		tRNA-Leu-CAG		
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.49	cg0065	49894	50616	-	723		hypothetical protein	PLF_1716_00005198	PGF_08225224
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.50	cg0066	50963	51145	-	183		hypothetical protein	PLF_1716_00006849	PGF_00116867
196627.14	Corynebacterium glutamicum ATCC 13032	NC_006958	PATRIC	CDS	fig|196627.14.peg.51	cg0067	51623	53095	-	1473	gabD3	Succinate-semialdehyde dehydrogenase [NAD(P)+] (EC 1.2.1.16)	PLF_1716_00001092	PGF_07204877
